x,y
1009,1423
1010,1423
1011,1423
1012,1423
1013,1423
1014,1423
1015,1423
1016,1423
1017,1423
1018,1423
1019,1423
1020,1423
1021,1423
1022,1423
1023,1423
1024,1423
1025,1423
1026,1423
1027,1423
1028,1423
1029,1423
1030,1423
1031,1423
1032,1423
1033,1423
1034,1423
1035,1423
1036,1423
1037,1423
1038,1423
1039,1423
1040,1423
1041,1423
1042,1423
1043,1423
1044,1423
1045,1423
1046,1423
1047,1423
1048,1423
1004,1424
1005,1424
1006,1424
1007,1424
1008,1424
1009,1424
1048,1424
1049,1424
1050,1424
1051,1424
1052,1424
1053,1424
1054,1424
1055,1424
1001,1425
1002,1425
1003,1425
1004,1425
1055,1425
1056,1425
1057,1425
1058,1425
1059,1425
1060,1425
997,1426
998,1426
999,1426
1000,1426
1001,1426
1060,1426
1061,1426
1062,1426
1063,1426
1064,1426
1065,1426
994,1427
995,1427
996,1427
997,1427
1065,1427
1066,1427
1067,1427
1068,1427
1069,1427
992,1428
993,1428
994,1428
1069,1428
1070,1428
1071,1428
1072,1428
989,1429
990,1429
991,1429
992,1429
1072,1429
1073,1429
1074,1429
1075,1429
1076,1429
986,1430
987,1430
988,1430
989,1430
1076,1430
1077,1430
1078,1430
1079,1430
984,1431
985,1431
986,1431
1079,1431
1080,1431
1081,1431
1082,1431
981,1432
982,1432
983,1432
984,1432
1082,1432
1083,1432
1084,1432
1085,1432
979,1433
980,1433
981,1433
1085,1433
1086,1433
1087,1433
1088,1433
977,1434
978,1434
979,1434
1088,1434
1089,1434
1090,1434
974,1435
975,1435
976,1435
977,1435
1090,1435
1091,1435
1092,1435
1093,1435
972,1436
973,1436
974,1436
1093,1436
1094,1436
1095,1436
970,1437
971,1437
972,1437
1095,1437
1096,1437
1097,1437
1098,1437
968,1438
969,1438
970,1438
1098,1438
1099,1438
1100,1438
966,1439
967,1439
968,1439
1100,1439
1101,1439
1102,1439
964,1440
965,1440
966,1440
1102,1440
1103,1440
1104,1440
1105,1440
962,1441
963,1441
964,1441
1105,1441
1106,1441
1107,1441
960,1442
961,1442
962,1442
1107,1442
1108,1442
1109,1442
958,1443
959,1443
960,1443
1109,1443
1110,1443
1111,1443
956,1444
957,1444
958,1444
1111,1444
1112,1444
1113,1444
954,1445
955,1445
956,1445
1113,1445
1114,1445
1115,1445
952,1446
953,1446
954,1446
1115,1446
1116,1446
1117,1446
950,1447
951,1447
952,1447
1117,1447
1118,1447
1119,1447
949,1448
950,1448
1119,1448
1120,1448
1121,1448
947,1449
948,1449
949,1449
1121,1449
1122,1449
945,1450
946,1450
947,1450
1122,1450
1123,1450
1124,1450
943,1451
944,1451
945,1451
1124,1451
1125,1451
1126,1451
942,1452
943,1452
1126,1452
1127,1452
1128,1452
940,1453
941,1453
942,1453
1128,1453
1129,1453
1130,1453
938,1454
939,1454
940,1454
1130,1454
1131,1454
937,1455
938,1455
1131,1455
1132,1455
1133,1455
935,1456
936,1456
937,1456
1133,1456
1134,1456
1135,1456
934,1457
935,1457
1135,1457
1136,1457
932,1458
933,1458
934,1458
1136,1458
1137,1458
1138,1458
930,1459
931,1459
932,1459
1138,1459
1139,1459
929,1460
930,1460
1139,1460
1140,1460
1141,1460
927,1461
928,1461
929,1461
1141,1461
1142,1461
1143,1461
926,1462
927,1462
1143,1462
1144,1462
924,1463
925,1463
926,1463
1144,1463
1145,1463
1146,1463
923,1464
924,1464
1146,1464
1147,1464
921,1465
922,1465
923,1465
1147,1465
1148,1465
1149,1465
920,1466
921,1466
1149,1466
1150,1466
919,1467
920,1467
1150,1467
1151,1467
1152,1467
917,1468
918,1468
919,1468
1152,1468
1153,1468
916,1469
917,1469
1153,1469
1154,1469
914,1470
915,1470
916,1470
1154,1470
1155,1470
1156,1470
913,1471
914,1471
1156,1471
1157,1471
912,1472
913,1472
1157,1472
1158,1472
1159,1472
910,1473
911,1473
912,1473
1159,1473
1160,1473
909,1474
910,1474
1160,1474
1161,1474
907,1475
908,1475
909,1475
1161,1475
1162,1475
1163,1475
906,1476
907,1476
1163,1476
1164,1476
905,1477
906,1477
1164,1477
1165,1477
1166,1477
903,1478
904,1478
905,1478
1166,1478
1167,1478
902,1479
903,1479
1167,1479
1168,1479
901,1480
902,1480
1168,1480
1169,1480
900,1481
901,1481
1169,1481
1170,1481
1171,1481
898,1482
899,1482
900,1482
1171,1482
1172,1482
897,1483
898,1483
1172,1483
1173,1483
896,1484
897,1484
1173,1484
1174,1484
1175,1484
894,1485
895,1485
896,1485
1175,1485
1176,1485
893,1486
894,1486
1176,1486
1177,1486
892,1487
893,1487
1177,1487
1178,1487
891,1488
892,1488
1178,1488
1179,1488
1180,1488
890,1489
891,1489
1180,1489
1181,1489
888,1490
889,1490
890,1490
1181,1490
1182,1490
887,1491
888,1491
1182,1491
1183,1491
886,1492
887,1492
1183,1492
1184,1492
885,1493
886,1493
1184,1493
1185,1493
1186,1493
884,1494
885,1494
1186,1494
1187,1494
882,1495
883,1495
884,1495
1187,1495
1188,1495
881,1496
882,1496
1188,1496
1189,1496
1190,1496
880,1497
881,1497
1190,1497
1191,1497
1192,1497
879,1498
880,1498
1192,1498
1193,1498
878,1499
879,1499
1193,1499
1194,1499
1195,1499
877,1500
878,1500
1195,1500
1196,1500
1197,1500
875,1501
876,1501
877,1501
1197,1501
1198,1501
874,1502
875,1502
1198,1502
1199,1502
1200,1502
873,1503
874,1503
1200,1503
1201,1503
1202,1503
872,1504
873,1504
1202,1504
1203,1504
1204,1504
871,1505
872,1505
1204,1505
1205,1505
1206,1505
870,1506
871,1506
1206,1506
1207,1506
1208,1506
869,1507
870,1507
1208,1507
1209,1507
1210,1507
868,1508
869,1508
1210,1508
1211,1508
1212,1508
1213,1508
866,1509
867,1509
868,1509
1213,1509
1214,1509
